Num.0.0	¶ The fourth boke of Moses called in the Hebrue, Uaiedabber and in the Latyn Numeri.
Num.15.9	let him bring with a bullock a meateoffering of .iij. tenth deales of floure myngled with halfe an hin of oyle. And thou shalt bryng for a drinckofferynge euen halfe an hin of wyne,
Num.15.10	for an offering of a swete sauoure vnto the Lorde.
Num.15.11	After thys maner, shall it be done for an oxe, or for a ram, or for a lambe or a kyd.
Num.15.12	Loke what nombre thou makest in these, such a nombre shalt thou make in them also. And according to the nombre of suche offeringes, thou shalt encrease the meatofferynges and the drynckofferinges.
Num.15.13	All that are of your selues shall do these thinges after this maner, to offer an offeringe of swete sauour vnto the Lorde.
Num.15.14	And yf a straunger sogeorne with you, or whoso euer be amonge you in your generacions, and will offer an offering of a swete sauour vnto the Lorde: euen as ye do, so he shall do.
Num.15.15	One ordinaunce shalbe both for you of the congregacion, and also for the straunger. It shalbe an ordinaunce for euer in your generacions, both vnto you and to the straunger before the Lorde.
Num.15.16	One lawe and one maner shall serue, both for you and for the straunger that sogeorneth with you.
Num.15.17	And the Lorde spake vnto Moses, sayinge:
Num.15.18	speake vnto the children of Israel, and saye vnto them: When ye become into the lande to the which I bring you,
Num.15.19	then when ye will eate of the bread of the lande, ye shall take vp an heueoffering vnto the Lorde.
Num.15.20	Ye shall take vp a cake of the fyrst of your dow for an heueoffering, as ye do the heueoffering of the barne, euen so ye shall heue it.
Num.15.21	Of the fyrst of your dowe ye shall geue vnto the Lorde an heueoffering in your generacions.
Num.15.22	And yf ye ouerse your selues, and obserue not all these commaundementes, which the Lorde hath spoken vnto Moses:
Num.15.23	euen all that the Lorde hath commaunded you by the hande of Moses, from the fyrst daie that the Lorde commaunded Moses, and hence forwarde amonge youre generacions.
Num.15.24	Yf it happen that ought is commytted ignorantlye of the congregacion, all the multitude shall offer a bullocke for a burntofferyng, to be a swete sauoure vnto the Lorde, with the meatoffering and drynckoffering therto, acdynge to the maner, and an he goate for synne.
Num.15.25	And the preast shall make an atonement for all the multitude of the children of Israel, and it shalbe forgeuen them: for it is ignoraunce. And they shall brynge theyr offeryng for a sacrifyce vnto the Lorde: Ꟶ theyr synofferynge before the Lorde for their ignoraunce.
Num.15.26	And it shalbe forgeuen vnto all the multitude of the chyldren of Israel, and vnto the straunger that dwelleth amonge you: seinge all the people were in ignoraunce.
Num.15.27	If any one soule synne thorow ignoraunce, he shall brynge a she goate of a yeare olde for synne.
Num.15.28	And the preaste shall make an atonement for the soule that synned ignorauntly, with the synneofferynge before the Lorde to reconcyle hym: and that it maye be forgeuen hym.
Num.15.29	And both thou that art borne of the children of Israel and the straunger that dwelleth amonge you, shall haue both one lawe, whoso doeth synne thorowe ignoraunce.
Num.15.30	But the soule that doeth ought presumptuouslye, whyther he be an Israelite or a straunger, the same blasphemeth the Lorde. And that soule shalbe roted out from among his people,
Num.15.31	because he hath despysed the word of the Lorde, and hath broken hys commaundement, that soule therfore shall perish, and his synne shalbe vpon him.
Num.15.32	And whyle the chyldren of Israel were in the wyldernesse, they founde a man that gathered styckes vpon the Sabboth daye.
Num.15.33	And they that founde him gatherynge styckes, brought hym vnto Moses and Aaron and vnto all the congregacyon:
Num.15.34	and they put him inwarde, seyng it was not declared what shulde be done vnto him.
Num.15.35	And the Lorde sayde vnto Moses: Let the man die: and let all the multitude stone him with stones without the hoost.
Num.15.36	And all the multitude brought him without the hoost, Ꟶ stoned him with stones, and he dyed as the Lord commaunded Moses.
Num.15.37	And the Lorde spake vnto Moses, saying:
Num.15.38	speake vnto the children of Israel and byd them: that they make them gardes in the quarters of theyr garmentes thorow out their generacions, and put vpon the garde of the quarters a ryband of yelow sylke:
Num.15.39	And the garde shalbe vnto you to loke vpon it, that ye maye remembre all the commaundementes of the Lorde, and do them: and that ye seke not after youre awne hert or youre awne eyes: after the which ye vse to go a whoring:
Num.15.40	but ye shall remembre rather and do all my commaundementes, and be holy vnto youre God:
Num.15.41	I am the Lorde youre God, which broughte you oute of the lande of Egypte, for to be youre God. I am the Lorde youre God.
Num.16.1	And Corah the sonne of Iezehar the sonne of Cahath the sonne of Leui, and Dathan Ꟶ Abiram the sonne of Eliab, and On the sonne of Peleth, the sonne of Ruben:
Num.16.2	rose vp before Moses, with other men of the children of Israel, two hundred and fiftye, which were captaynes of the multitude great and famous men in the congregacion:
Num.16.3	Ꟶ they gathred them selues together agaynst Moses and Aaron, Ꟶ sayde vnto them: ye make moche to do, seynge all the multitude are holy euery one of them, and the Lorde is amonge them: Why heaue ye your selues vp aboue the congregacyon of the Lorde?
Num.16.4	And when Moses heard it, he fell vpon his face,
Num.16.5	and spake vnto Corah and vnto all his company, saying: to morowe the Lorde will shewe who are his, who is holy, Ꟶ who ought to approch nye vnto him, and whom he hath chosen to come to him.
Num.16.6	This do therfore, take you fyerpannes, both Corah and all his company
Num.16.7	and do fyer therin, and put cens in them before the Lorde to morowe. And the man whom the Lorde doth chose, the same shalbe holy. Ye make much to do, ye chyldren of Leui.
Num.16.8	And Moses sayde vnto Corah: heare ye chyldren of Leui:
Num.16.9	Is it but a small thinge vnto you, that the God of Israel hath separated you from the multitude of Israel: and brought you to him selfe, to do the seruyce of the dwelling place of the Lord, and to stande before the multitude, and to minystre vnto him?
Num.16.10	he hath taken the to him and all thy brethren the sonnes of Leui with the, and seke ye the offyce of the preaste also.
Num.16.11	For which cause both thou and all thy companye are gathered together against the Lorde? And what is Aaron, that ye murmur agaynst him?
Num.16.12	And Moses sent, and called Dathan and Abiram the sonnes of Eliab, which sayde: we wyll not come vp.
Num.16.13	Is it a small thynge, that thou hast brought vs oute of a lande that floweth with mylke and hony, to kyll vs in the wildernes, and to raygne ouer vs also?
Num.16.14	Hast thou brought vs vnto a lande that floweth with mylke and hony, and geuen vs inheritaunce of feldes and vyneyardes? Wilt thou pull out the eyes of these men? we wyll not come vp.
Num.16.15	And Moses waxed very angry, Ꟶ sayde vnto the Lorde. Turne not thou vnto theyr offeryng. I haue not taken so muche as an asse from them, neyther haue I hurte any of them.
Num.16.16	And Moses sayde vnto Corah: Be thou and all thy company before the Lorde both thou, they, and Aaron tomorowe.
Num.16.17	And take euery man his censer, and put cens in them, that ye maye offre before the Lorde: euery man of the two hundred and fyftye take his censoure, thou also Aaron, that euery one maye haue his censer.
Num.16.18	And they toke euery man hys censer, and put fyer in them, and layed cens theron, and stode in the dore of the tabernacle of witnesse with Moses and Aaron.
Num.16.19	And Corah gathered all the congregacyon agaynst them vnto the dore of the tabernacle of witnes. And the glory of the Lord appeared vnto all the congregacion.
Num.16.20	And the Lorde spake vnto Moses and Aaron, sayinge:
Num.16.21	separate your selues from amonge this congregacion, that I maye consume them atonce.
Num.16.22	And they fell vpon their faces and sayde. O moost myghtye God of the spretes of all fleshe, yf one man hath synned, wylt thou be wroth with all the multitude?
Num.16.23	And the Lorde spake vnto Moses saying:
Num.16.24	speake vnto the congregacyon and saye: Get you awaye from about the dwellyng of Corah, Dathan and Abiram.
Num.16.25	And Moses rose vp, and went vnto Dathan and Abiram, and the elders of Israel folowed him.
Num.16.26	And he spake vnto the congregacion, saying: departe from the tentes of these wicked men, and touche nothing of theirs: lest ye perysh in all their synnes.
Num.16.27	And so they gate them from the dwellyng of Corah, Dathan and Abiram on euery syde. And Dathan and Abiram came out and stode in the dore of their tentes with their wyues, their sonnes and their lytle chyldren.
Num.16.28	And Moses sayd: Herby ye shall knowe that the Lorde hath sent me to do all these workes, and that I haue not done them of mine awne minde.
Num.16.29	If these men dye the comen deth of all men: or yf they be visyted after the visitacyon of all men, then the Lorde hath not sent me.
Num.16.30	But and yf the Lorde make a newe thyng, and the earth open her mouth and swalowe them vp wt all that they haue: and they go downe quycke into hell: then ye shall vnderstande, that these men haue prouoked the Lorde.
Num.16.31	And it fortuned that assone as he had made an ende of speakyng all these wordes,
Num.16.32	the grounde cloue asonder that was vnder them: Ꟶ the erth opened her mouth, and swalowed them vp, and their houses,
Num.16.33	and all the men that were with Corah and all their goodes. And they and all that they had, went downe alyue vnto hell, and the earth closed vpon them: and they peryshed from amonge the congregacion.
Num.16.34	And all Israel that were aboute them fledd at the crye of them. And they sayd: lest the earthe swalowe vs vp also.
Num.16.35	And there came oute a fyer from the Lorde, and consumed the two hundred and fyftye men that offred cens.
Num.16.36	And the Lorde spake vnto Moses, saying:
Num.16.37	Speake vnto Eleazar the sonne of Aaron the preaste, that he take vp the censers oute of the burnynge, and skatter the fyer here and there,
Num.16.38	for the censers of these synners are halowed in theyr deathes: and let them make of them thinne beaten plates for a coueryng of the aultare. For they offered them before the Lord, and therfore they are halowed, and they shalbe a sygne vnto the chyldren of Israel.
Num.16.39	And Eleazar the preast toke the brasen censers which they that were burnt had offered, and beate them thinne for a couering of the aultare,
Num.16.40	to be a remembraunce vnto the chyldren of Israel, that no straunger which is not of the seed of Aaron, come nere to offer cens before the Lord, that it happen not vnto hym lyke as vnto Corah and hys companye, as the Lorde sayde of him by the hande of Moses.
Num.16.41	But on the morowe all the multitude of the children of Israel murmured agaynste Moses and Aaron, sayinge: ye haue kylled the people of the Lord.
Num.16.42	And it fortuned that when the multitude was gathred agaynst Moses and Aaron, they loked towarde the tabernacle of witnes. And beholde, the cloude couered it, and the glory of the Lorde appeared.
Num.16.43	And Moses and Aaron came before the tabernacle of witnes.
Num.16.44	And the Lorde spake vnto Moses, saying:
Num.16.45	Get you from amonge thys congregacion, that I maye consume them quickly. And they fell vpon their faces.
Num.16.46	And Moses sayde vnto Aaron: take a censer, and put fier therin out of the aulter, and powre on cens, and go quyckly vnto the congregacion, that thou mayest obteyne forgeuenes for them. For there is wrath gone oute from the Lorde, and there is a plage begonne.
