Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.21.28	And thou (O sonne of man) prophecy, Ꟶ speake: Thus sayeth the Lorde God to the chyldren of Ammon, Ꟶ to their blasphemy, speake thou: The swearde, the swearde, is drawen forth all redy to the slaughter, Ꟶ scoured to consume that it glystreth
Ezek.21.29	(because thou hast loked the out vanyties, and prophecyed lyes) that it maye come vpon thy necke, lyke as vpon the other vngodly, whych be slayne: whose daye came, whan their wyckednesse was full.
Ezek.21.30	Shulde I put it vp agayne? Naye I wyll punyshe the, in the lande where thou wast norished Ꟶ borne,
Ezek.21.31	and poure my indignacyon vpoon the and wyll blowe vpon the in the fyre of my wrath, and delyuer the vnto cruel people, which are lerned to destroye.
Ezek.21.32	Thou shalt fede the fyre and thy bloude shall be shed in the lande, that thou mayest be put out of remembraunce. Euen I the Lorde haue spoken it.
Ezek.22.1	Moreouer, the worde of the Lorde came vnto me, Ꟶ sayde:
Ezek.22.2	thou sonne of man, wylt thou not reproue thys bloudthurstye cyte? Shew them their abhominacyons,
Ezek.22.3	and tell them: Thus sayeth the Lorde God: O thou cyte, that sheddest bloude in the myddest of the, that thy tyme maye come also: Ꟶ makest the Idoles to defyle the wythall.
Ezek.22.4	Thou hast made thy selfe gylty, in the bloude that thou hast shed: and defyled the in the Idoles, which thou hast made. Thou hast caused thy dayes to drawe nye, Ꟶ made the tyme of thy yeares to come. Therfore wyll I make the to be confounded amonde the Heathen, Ꟶ to be despysed in all the landes,
Ezek.22.5	whether they be nye or farre from the: they shall laugh the to scorne, thou that hast gotten the so foule a name, Ꟶ art full of myschefe.
Ezek.22.6	Beholde, the rulers of Israel haue brought euery man hys power, to shed bloude in the.
Ezek.22.7	In the haue they despysed father Ꟶ mother, in the haue they oppressed the straunger, in the haue they vexed the wydowe and the fatherlesse.
Ezek.22.8	Thou hast despysed my Sanctuary, and vnhalowed my Sabbath.
Ezek.22.9	Murtherers are there in the, that shede bloude, Ꟶ eate vpon the hylles, and in the they vse abhominacyon.
Ezek.22.10	In the haue they discouered their fathers shame, in the haue they vexed wemen in their sicknesse.
Ezek.22.11	Euery man hath dealte shamefully with his neyghbours wyfe, Ꟶ abhominably defyled hys daughter in lawe. In the hath euery man forced his awne syster, euen his fathers daughter:
Ezek.22.12	yee, gyftes haue bene receaued in the, to shede bloude. Thou hast taken vsury and encreace, thou hast oppressed thy neyghbours by extorcyon, and forgotten me, sayeth the Lorde God.
Ezek.22.13	Beholde, I haue smyten my handes vpon thy couetousnesse, that thou hast vsed, and vpon the bloude whych hath bene shed in the.
Ezek.22.14	Is thy herte able to endure it, or may thy handes defende them selues, in the tyme that I shall brynge vpon the? Euen I the Lorde that speake it, wyll brynge it also to passe.
Ezek.22.15	I wyll scatre the amonge the Heathen, Ꟶ strowe the aboute in the landes, Ꟶ wyll cause thy fylthynesse to ceasse out of the:
Ezek.22.16	yee, and thou shalt be thyne awne enheritaunce Ꟶ not myne in the syght of the Heathen, that thou mayest knowe, that I am the Lorde.
Ezek.22.17	And the worde of the Lorde came vnto me, sayinge:
Ezek.22.18	Thou sonne of man, the house of Israel is turned to drosse. All they that shulde be brasse, tynne, yron, Ꟶ leade, are in the fyre become drosse.
Ezek.22.19	Therfore, thus sayeth the Lord God. For so moche as ye all are turned in to drosse, beholde: I wyll brynge you together vnto Ierusalem,
Ezek.22.20	lyke as syluer, brasse, yron, tynne and leade are put together in the fornace, and the fyre blowen there vnder to melt them. Euen so will I gather you, put you in together, and melt you in my wrath Ꟶ indignacyon.
Ezek.22.21	I wyll brynge you together, and kyndle the fyre of my cruell displeasure vnder you, that ye maye be melted therin.
Ezek.22.22	Lyke as the syluer is melted in the fyre, so shall ye also be melted therin: that ye maye knowe, howe that I the Lorde haue powred my wrath vpon you.
Ezek.22.23	And the worde of the Lorde came vno me, sayinge.
Ezek.22.24	Thou sonne of man, tell her. Thou art an vnclene lande, which is not rayned vpon in the daye of the cruell wrath:
Ezek.22.25	thy Prophetes that are in the, are sworne together to deuoure soules, lyke as a roarynge Lyon, that lyueth by his praye. They receaue ryches and good, Ꟶ make many wyddowes in the.
Ezek.22.26	Thy prestes breake my lawe, and defyle my Sanctuary. They put no difference betwene the holye Ꟶ vnholye, nether discerne betwene the cleane Ꟶ vncleane: they turne their eyes fro my sabbathes, Ꟶ I am vnhalowed amonge them.
Ezek.22.27	Thy rulers in the are lyke rauyshynge wolues, to shed bloude, and to destroye soules, for their awne couetous lucre.
Ezek.22.28	As for thy Prophetes, they dawbe with vntempered claye, they se vanytyes, and prophecye lyes vnto them, sayinge: the Lorde God sayeth so, where as the Lorde hath not spoken.
Ezek.22.29	The people in the lande vseth wycked extorcyon Ꟶ robbery. They vexe the poore Ꟶ nedye and oppresse the straunger agaynst ryght.
Ezek.22.30	And I sought in the lande for a man, that wolde make vp the hedge, and sett him selfe in the gappe before me in the landes behalfe, that yt shulde not be corrupted: but I could fynde none.
Ezek.22.31	Therfore, I will poure out my cruell dyspleasure vpon them, Ꟶ burne them in the fyre of my wrath: theyr awne wayes will I recompence vpon theyr heades saieth the lord God.
Ezek.23.1	The worde of the Lord came vnto me sayeng:
Ezek.23.2	Thou sonne of man, there were two wemen, that had one mother.
Ezek.23.3	These (when they were yonge) beganne to playe the harlottes in Egypt. There were theyr brestes brosed, Ꟶ the pappes of theyr maydenhead did the Egyptians destroye.
Ezek.23.4	The eldest of them was called Oholah Ꟶ her yongest syster Oholibah. These two were my wyues, Ꟶ bare sonnes Ꟶ daughters. Theyr names were Samaria, Ꟶ that was Oholah: Ꟶ Ierusalem, that was Oholibah.
Ezek.23.5	As for Oholah she beganne to go a whoring, when I had taken her to me. She was sett on fyre vpon her louers the Assirians
Ezek.23.6	as her neybours which had to do wt her: euen the princes Ꟶ Lordes that were deckte in costly araye fayre yonge men, lusty ryders of horses.
Ezek.23.7	Thus thorow her whordome, she cleued vnto all the yonge men of Assiria. Yee, she was madd vpon them, Ꟶ defyled her selfe wt all theyr Idols.
Ezek.23.8	Nether ceassed she from the fornicacyon, that she vsed wt the Egypcians: for in her youth they laye wt her, they brosed the brestes of her maydenhead, Ꟶ poured theyr whordome vpon her.
Ezek.23.9	Wherfore, I delyuered her into the handes of her louers, euen the Assirians, whom she so loued.
Ezek.23.10	These discouered her shame, toke her sonnes Ꟶ daughters, Ꟶ slewe her wt the sweard: An euel name gat she of all people, and they punished her.
Ezek.23.11	Her sister Oholibah sawe this, and destroyed her selfe wt inordynate loue, more then she, Ꟶ exceded her syster in whordom
Ezek.23.12	she loued the Assirians (which also laye wt her) namely, the princes Ꟶ greate lordes, that were clothed wt al maner of gorgious apparell all lusty horsmen Ꟶ fayre yonge personnes.
Ezek.23.13	Then I sawe, that they both were defyled a lyke.
Ezek.23.14	But she increased styll in whordome, for when she sawe men paynted vpon the wall, the ymages of the Caldees sett forth wt fressh couloures,
Ezek.23.15	wt fayre gyrdles about them Ꟶ goodly bonettes vpon theyr heades, lokynge all lyke prynces (after the maner of the Babylonyans and Chaldees in theyr awne lande where they be borne)
Ezek.23.16	immediatly, as soone as she sawe them, she brent in loue vpon them, and sente messaungers for them into the lande of the Chaldees.
Ezek.23.17	Now when the Babylonyans came to her, they laye with her and defyled her with theyr whordome, and so was she polluted with them. And when her lust was abated from them,
Ezek.23.18	her whordome and shame was discouered and sene: then my herte forsoke her, lyke as my herte was gone from her syster also.
Ezek.23.19	Neuerthelesse, she vsed her whordome euer the longer the more, and remembred the dayes of her youth, wherin she had played the harlot in the lande of Egypt:
Ezek.23.20	she brent in lust vpon them, whose fleshe was lyke the flesh of Asses, and theyr sede lyke the sede of horses.
Ezek.23.21	Thus thou hast renued the fylthynesse of the youth, when thy louers brosed thy pappes, and marred thy brestes in Egypte.
Ezek.23.22	Therfore (O Oholibah) thus sayeth the Lord God: I will rayse vp thy louers (wt whom thou hast satysfyed thy lust) against the, and gather them together rounde about the:
Ezek.23.23	namely the Babylonians, and all the Chaldees, rulers, mightye men Ꟶ tyrauntes, wt all the Assirians: all yonge Ꟶ fayre louers: princes and Lordes, knyghtes and gentelmen, which be all good horsmen.
Ezek.23.24	These shall come vpon the with horses, charrettes, and a greate multitude of people: which shalbe harnessed aboute the on euery syde, wt brestplates, shyldes Ꟶ helmettes. I wyll punish the before them, yee, they them selues shall punysh the, accordynge to theyr awne iudgement.
Ezek.23.25	I will put my gelousy vpon the, so that they shal deale cruelly with the. They shall cut of thy nose and thyne eares, and the remnaunt shall fall thorow the swearde. They shall cary awaye thy sonnes and daughters, and the resydue shalbe brent in the fyre.
Ezek.23.26	They shall strype the out of thy clothes, and cary thy costly Iewels awaye with them.
Ezek.23.27	Thus wyll I make an ende of thy fylthynesse and whordome, which thou hast brought oute of the lande of Egypte: so that thou shalt turne thyne eyes nomore after them, and cast thy mynde nomore vpon Egypte.
Ezek.23.28	For thus sayeth the Lorde beholde I will delyuer the into the handes of them, whom thou hatest, yee, euen into the handes of them, with whom thou hast fulfylled thy lust,
Ezek.23.29	whych shall deale cruelly wyth the. All thy laboure shall they take with them, and leaue the naked and bare, and thus the shame of thy fylthye whordome shall come to lyght.
Ezek.23.30	All these thynges shall happen vnto the, because of thy whordome which thou hast vsed amonge the Gentyls wyth whose Idols thou hast defyled thy self.
Ezek.23.31	Thou hast walcked in the waye of thy syster, therfore wyll I geue the her cuppe in thy hande.
Ezek.23.32	Thus sayeth the Lord God: Thou shalt dryncke of thy systers cuppe, how depe and farre so euer it be to the botome. Thou shalt be laughed to scorne, and had as greatly in derisyon, as is possible.
Ezek.23.33	Thou shalt be full of dronkennes and sorowe, for the cuppe of thy syster Samaria is a cuppe of destruccion and wastynge:
Ezek.23.34	the same shalt thou dryncke, and suppe it out euen to the dregges, yee, thou shalt eat vp the broken peces of it, Ꟶ so teare thyne awne brestes: For euen I haue spoken it sayeth the Lorde God.
Ezek.23.35	Therfore, thus sayeth the Lorde God: For so moch as thou hast forgotten me, and cast me aside behinde the, so beare now thyne awne fylthines and whordome.
Ezek.23.36	The Lorde sayde moreouer vnto me: Thou sonne of man wilt thou not reproue Oholah and Oholibah? Shewe them theyr abhominacions:
Ezek.23.37	namely that they haue broken theyr wedlocke, Ꟶ stayned theyr handes wt bloude: yee, euen wt theyr ydoles haue they commytted aduoutry and offred them by the fyre theyr awne children (to be deuoured) whom they had borne vnto me.
Ezek.23.38	Yee, Ꟶ thys haue they done vnto me also: they haue defyled my Sanctuary in that same daye, Ꟶ haue vnhalowed my Sabboth.
Ezek.23.39	For when they had slayne theyr children for theyr Idols, they came the same daye into my Sanctuary to defyle it. Lo, thys haue they done in my house:
Ezek.23.40	Besyde all thys, thou hast sent they messaungers for men out of farre countrees: Ꟶ when they came, thou hast bathed Ꟶ painted thyne eyes wt colours, trymmed Ꟶ set forth thy self of the best fassion:
Ezek.23.41	thou sattest vpon a goodly bed and a table spred before the: wherupon thou hast set myne incense and myne oyle.
Ezek.23.42	Then was there great chere with her to optayne peace, and though with those men many men came, yet were ther also brought, men of Sabba from the wildernesse: which gaue them bracelettes vpon theyr handes, Ꟶ sett glorious crownes vpon theyr heades:
Ezek.23.43	and I sayde vnto her: that seynge she was stryken in age in her whordommes: now shall her fornycations come to an end wt her.
Ezek.23.44	And they wente into her as vnto a comen harlot Euen so went they, (I say) to Oholah Ꟶ Oholibah those fylthy wemen.
Ezek.23.45	O all ye that loue vertue Ꟶ ryghteousnes, iudge them, punishe them: as aduoutrers Ꟶ murtherers ought to be iudged Ꟶ punished. For they are breakers of wedlocke, Ꟶ the bloude is in theyr handes.
Ezek.23.46	Wherfore thus sayeth the Lorde God I wil bringe a greate multitude of people vpon them, Ꟶ make them be scatred Ꟶ spoyled:
Ezek.23.47	these shall stone them, Ꟶ gore them wt theyr sweardes. They shal slaye theyr sonnes Ꟶ daughters, and burne vp theyr houses with fyre.
Ezek.23.48	Thus wyll I destroye all soch fylthynes out of the land: that all wemen maye learne, not to do after your vnclennes.
Ezek.23.49	And so they shall laye your fylthynes vpon your awne selues, and ye shalbe punyshed for the synnes that ye haue commytted with your Idols: and ye shall knowe that I am the Lorde God.
