Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.24.2	And Abraham sayde vnto his eldest seruaunte of his house whych had the rule ouer all that he had: Put thy hande vnder my thygh,
Gen.24.3	Ꟶ I wyll make the swere by the Lorde God of heauen and God of the erth, that thou shalt not take a wyfe vnto my sonne, of the daughters of Chanaan, amonge whych I dwell.
Gen.24.4	But thou shalt goo vnto my contrey and to my natyue londe, and take a wyfe vnto my sonne Isahac.
Gen.24.5	But the seruaunte sayde vnto hym: peraduenture the woman wyll not agree to come wyth me vnto thys lande, shall I bringe thy sonne agayne vnto the lande whych thou cammest out of?
Gen.24.6	To whom Abraham answered: be ware, that thou brynge not my sonne thyther agayne.
Gen.24.7	The Lorde God of heauen whych toke me from my fathers house and from the lande where I was borne, and whych spake vnto me and that sware vnto me, sayinge: vnto thy seed wyll I geue thys lande, he shall sende hys angell before the, and thou shalt take a wyfe vnto my sonne from thence.
Gen.24.8	Neuerthelesse yf the woman wyll not agree to folowe the, than shalt thou be wyth out daunger of thys my ooth. Onely brynge not my sonne thyther agayne.
Gen.24.9	And the seruaunt put hys hande vnder the thygh of Abraham his master, and sware to hym as concernynge that matter.
Gen.24.10	And the seruaunt toke .x. camels of the cameles of hys master and departed, and had of all maner goodes of hys master wyth hym, and stode vp and went to Mesopotamya, vnto the cytie of Nahor.
Gen.24.11	And made hys camels to lye downe wythout the cytie by a wels syde of water, at euen: aboute the tyme that women come out to drawe water,
Gen.24.12	and he sayde. Lorde God of my master Abraham, sende me good spede this daye, and shewe mercy vnto my master Abraham.
Gen.24.13	Lo I stonde here by the well of water, and the daughters of the men of thys cytye come out to drawe water:
Gen.24.14	Nowe the damsell to whome I saye, stompe downe thy pytcher I praye the that I maye dryncke. If she saye also: Dryncke, and I wyll geue thy camels drincke: the same is she that thou hast ordeyned for thy seruaunte Isahac: yee, and therby shall I knowe that thou hast shewed mercy on my master.
Gen.24.15	And it came to passe yer he had left speakynge, beholde, Rebecca came out, the daughter of Bethuell, sonne to Milca the wyfe of Nahor Abrahams brother, and hyr pytcher vpon hyr shoulder:
Gen.24.16	The damsell was very fayre to loke vpon, and yet a mayde and vnknowen of man. And she went downe to the well, and fylled hyr pytcher and came vp.
Gen.24.17	And the seruaunte rennynge vnto her, sayde: let me suppe a lytle water of thy pytcher.
Gen.24.18	And she sayde: drincke my Lorde. And she hasted and lett downe her pytcher vpon hyr arme, and gaue hym dryncke.
Gen.24.19	And when she had gyuen hym dryncke, she sayde: I wyll drawe water for thy camels also, vntyll they haue droncke ynough.
Gen.24.20	And she powred out hyr pytcher in to the trough hastely, and ranne agayne vnto the well to fett water: and drewe for all hys camels.
Gen.24.21	And the man wondred at her: but helde his peace, to wete whether the Lorde had made hys iourney prosperous or not.
Gen.24.22	And it fortuned as the camelles had lefte drynkynge, the man toke a golden earynge of halfe a sicle waight, and two bracellettes for hyr handes, of .x. sycles weyght of golde,
Gen.24.23	and sayde: Whose daughter art thou? tell me I praye the, is there rowme in thy fathers house for vs to lodge in?
Gen.24.24	She answered him: I am the daughter of Bathuel the sonne of Milca which she bare vnto Nahor:
Gen.24.25	and sayde moreouer vnto hym: we haue litter and prouonder ynough, and also rowme to lodge i
Gen.24.26	And the man bowed him selfe, Ꟶ worshypped the Lorde,
Gen.24.27	and sayde: blessed be the Lorde God of my master Abraham, whych ceasseth not to deale mercyfully and truly wyth my master, and hath brought me the waye to my masters brothers house.
Gen.24.28	And the damsell ranne and tolde them of her mothers house these thynges.
Gen.24.29	And Rebecca had a brother called Laban. And he ranne out vnto the man, euen to the well:
Gen.24.30	for as sone as he had sene the earynges and the bracelettes in hys systers handes (and hearde the wordes of Rebecca hys syster sayinge: thus sayde the man vnto me) he went out vnto the man. And loo, he stode wyth the camels by the well syde.
Gen.24.31	And he sayde: come in thou blessed of the Lorde. Wherfore stondest thou wythout? I haue dressed the house, and made rowme for the camels.
Gen.24.32	And than the man came into the house: and he vnbrydled the camels. and (Laban) brought lytter and prouonder for the camels, and water to washe hys fete and the mennes fete that were wt hym,
Gen.24.33	Ꟶ set meate before hym to eate. But he sayde: I wyll not eate, vntyll I haue sayde myne arande. And he sayde: saye on.
Gen.24.34	And he sayd: I am Abrahams seruaunt,
Gen.24.35	Ꟶ God hath blessed my master out of measure, that he is become greate, and hath geuen hym shepe, and oxen, syluer and golde, men seruauntes, and mayde seruauntes, camels and asses.
Gen.24.36	And Sara my masters wyfe bare hym a sonne, when she was olde: and vnto hym hath he geuen all that he hath.
Gen.24.37	And my master made me swere sayinge: thou shalt not take a wyfe to my sonne amonge the daughters of the Cananites in whose lande I dwell:
Gen.24.38	But thou shalt go vnto my fathers house Ꟶ to my kynred, and take a wife vnto my sonne.
Gen.24.39	And I sayde vnto my master: peraduenture the wyfe wyll not folowe me?
Gen.24.40	And he answered me: The Lorde, before whome I walke, wyll sende hys angell wyth the, and prospere thy iourney and thou shalt take a wyfe for my sonne, of my kynred and of my fathers house.
Gen.24.41	Them shalt thou be gyltlesse of my curse, whan thou commest to my kynred. And yf they geue the not one, thou shalt be giltlesse of my curse.
Gen.24.42	And so I came thys daye vnto the well and sayde: O Lorde, the God of my master Abraham, yf it be so nowe that thou makest my iourney whych I go, prosperous:
Gen.24.43	beholde I stonde by thys well of water, and when a vyrgyn cometh forth to drawe water, and I saye to her: geue me (I praye the) a lytle water of thy pytcher to drincke,
Gen.24.44	and she saye to me: dryncke thou, and I wyll also drawe for thy camels: that same is the wyfe whom the Lorde hath prepared for my masters sonne.
Gen.24.45	And before I had made an ende of speakynge in myne harte: beholde Rebecca came forth, and hyr pytcher on hyr shulder, and she went downe vnto the well Ꟶ drewe water. And I sayde vnto her: geue me dryncke I praye the.
Gen.24.46	And she made hast, Ꟶ toke downe hyr pitcher from of hyr, and sayde dryncke, and I wyll geue thy camels dryncke also.
Gen.24.47	And I drancke, Ꟶ she gaue the camels dryncke also. And I asked her, sayinge: whose daughter art thou? She answered: the daughter of Bathuel Nahors sonne whom Milca bare vnto hym. And I put the earing vpon hyr face, and the bracelettes vpon hyr handes.
Gen.24.48	And I bowed my selfe, and worshypped the Lorde, Ꟶ blessed the Lorde God of my master Abraham whych had brought me the ryght waye, to take my masters brothers daughter vnto hys sonne.
Gen.24.49	Nowe also yf ye wyll deale mercyfully and truly wyth my master, tell me: and yf not, tell me also: that I maye turne me to the ryght hande or to the lefte.
Gen.24.50	Than answered Laban and Bathuel, sayinge. This sayenge is proceded euen out of the Lorde, we can not therfore saye vnto the, ether good or bad:
Gen.24.51	beholde, Rebecca is before the, take her and goo, that she maye be thy masters sonnes wyfe, euen as God hath sayde.
Gen.24.52	And when Abrahams seruaunt hearde theyr wordes, he worshypped the Lorde, flatt vpon the erth.
Gen.24.53	And the seruaunt toke forth iewelles of syluer and iewelles of golde and rayment, and gaue them to Rebecca. And vnto hyr brother and to hyr mother, he gaue gyftes.
Gen.24.54	And they dyd eate Ꟶ dryncke, both he and the men that were with him, and taryed all nyght. And whan they rose vp in the mornynge. He sayde: let me departe vnto my master.
Gen.24.55	Hyr brother Ꟶ hyr mother answered: let the damsell abyde wyth vs a whyle, and it be but euen .x. dayes, and than shall she go.
Gen.24.56	He sayde vnto them: hynder me not, beholde, the Lorde hath prospered my iourney. Sende me awaye therfore, that I maye goo vnto my master.
Gen.24.57	And they sayde: we wyll call the damsell, and enquere at hyr mouth.
Gen.24.58	And they called forth Rebecca, and sayde vnto her: wylt thou goo with this man? And she answered, I wyll goo.
Gen.24.59	So they let Rebecca theyr syster go and her norse Ꟶ Abrahams seruaunte, Ꟶ hys men.
Gen.24.60	And they blessed Rebecca, and sayde vnto her: Thou art oure syster, growe into thousande thousandes and thy seed possesse the gate of theyr enemyes.
Gen.24.61	And Rebecca arose and hyr damsels, and satt them vp vpon the camels, and went theyr waye after the man. And the seruaunt toke Rebecca, and went hys waye.
Gen.24.62	And Isahac was a commynge from the waye of the well of the lyuinge and seynge me, for he dwelt in the south contreye,
Gen.24.63	Ꟶ Isahac was gone out to praye in the felde at the euen tyde. And he lyft vp hys eyes and sawe the camels commyng.
Gen.24.64	And Rebecca lyft vp hyr eyes, and when she sawe Isahac, she lyghted of the camell,
Gen.24.65	and sayd vnto the seruaunt: what man is thys that commeth walkynge agaynst vs in the felde? And the seruaunt sayde: it is my master. Therfore she toke hyr cloke, and put it about her.
Gen.24.66	And the seruaunt tolde Isahac all thynges that he had done.
Gen.24.67	And Isahac broughte her in to his mother Saraes tente, and toke Rebecca, and she became hys wyfe, and he loued her: and so Isahac receaued conforte after hys mother
Gen.25.1	Abraham proceaded further and toke him a wyfe called Ketura,
Gen.25.2	whyche bare hym Simram, and Iecksan, and Medan, and Midian, and Iesback and Suah.
Gen.25.3	Iecksan begat Seba Ꟶ Dedan. And the sonnes of Dedan were: Assurim. Letusim and Leumim.
Gen.25.4	And the sonnes of Midian: Epha, and Epher, Hanoch, and Abida Ꟶ Elda. All these were the chyldren of ketura.
Gen.25.5	And Abraham gaue all hys goodes vnto Isahac.
Gen.25.6	But vnto the sonnes of the concubynes whych Abraham had, he gaue gyftes, and sent them awaye from Isahac hys sonne (whyle he yet lyued) eastwarde, vnto the lande of kedes.
Gen.25.7	And these are the dayes of the yeares of Abrahams lyfe whych he lyued: an hundred and .lxxv. yeare,
Gen.25.8	and than fell sycke and dyed in a lustye age (when he had lyued ynough) and was put vnto hys people.
Gen.25.9	And hys sonnes Isahac and Ismahel buryed hym in the double caue in the felde of Ephron sonne of zoar the Hethyte besyde the playne of Mamre.
Gen.25.10	Whych felde Abraham bought of the sonnes of Heth: There was Abraham buryed Ꟶ Sara hys wyfe.
Gen.25.11	It fortuned after the deeth of Abraham that God blessed Isahac his sonne, and Isahac dwelled by the well of the lyuynge and seynge me.
Gen.25.12	These are the generacions of Ismael Abrahams sonne, whych Hagar the Egypcyan Saras handmayde bare vnto Abraham.
Gen.25.13	And these are the names of the sonnes of Ismael, in their names accordinge to theyr kynreddes. The eldest sonne of Ismael: Nebaioth, and Cedar: and Adbeel, and Mibsam,
Gen.25.14	and Misma, Duma, and Masa,
Gen.25.15	Ꟶ Hadar, Thema, Ietur, Naphis Ꟶ kedma:
Gen.25.16	These are the sonnes of Ismael, Ꟶ these are, theyr names, by theyr townes and castels .xij. princes of their housholdes.
Gen.25.17	And these are the yeares of the lyfe of Ismael, an hundred and .xxxvij. yeare, and he fell sycke, Ꟶ dyed, Ꟶ was layde vnto hys people.
Gen.25.18	And they dwelled from Heuilah vnto Sur that is by the border of Egypte, as thou goest towarde the Assirians. And he dyed in the presence of all hys brethren.
Gen.25.19	And these are the generacions of Isahac Abrahams sonne: Abraham begat Isahac.
Gen.25.20	And Isahac was .xl. yeare olde when he toke Rebecca to wyfe, the daughter of Bathuel the Sirian of Mesopotamia and syster to Laban the Sirien.
Gen.25.21	And Isahac made intercessyon vnto the Lorde for hys wyfe: because she was baren: and the Lorde was intreated of hym, and Rebecca his wyfe conceaued:
Gen.25.22	and the chyldren stroue to gether wythin her. Therfore she sayd: yf it shulde goo so to passe, what helpeth it that I am wyth chylde? Wherfore, she went to aske the Lorde.
Gen.25.23	And the Lorde sayde vnto her: there are two maner of people in thy wombe, Ꟶ two nacyons shalbe deuyded out of thy bowels, and the one nacyon shalbe myghtyer than the other, and the elder shalbe seruaunte vnto the yonger.
Gen.25.24	Therfore when hyr tyme was come to be delyuered: beholde, there were two twynnes in hyr wombe.
Gen.25.25	And he that came out fyrst was redd, and he was all ouer as it were a rough garment, Ꟶ they called his name Esau.
Gen.25.26	And after hym, came hys brother out, Ꟶ hys hande holdynge Esau by the hele. And his name was called Iacob. And Isahac was .lx. yeare olde when they were borne:
Gen.25.27	and the boyes grewe, and Esau became a connynge hunter Ꟶ a tyller of the erth. But Iacob was a perfecte man, Ꟶ dwelled in the tentes.
Gen.25.28	Isahac loued Esau, because he dyd eate of hys venyson, but Rebecca loued Iacob.
Gen.25.29	Iacob sod potage, and Esau came from the felde and was fayntie,
Gen.25.30	and Esau sayd to Iacob: fede me I praye the wyth that redde potage, for I am fayntie. And therfore was hys name called Edom.
Gen.25.31	And Iacob sayde: sell me thys daye thy byrthryghte.
Gen.25.32	Esau sayde: Loo I am at the poynte to dye, and what profyte shall thys byrthryghte do me?
