Exod.0.0	¶ The second boke of Moses called in the Hebrue: Ueelleh Schemoth: And in the Latin, Exodus.
Exod.38.1	And he made the burntoffering alter of Sethim, wodd fyue cubytes was the length therof, and fyue cubytes the breadth: euen .iiii. square, Ꟶ .iii. cubytes hye.
Exod.38.2	And he made vnto it hornes in the foure corners of it procedyng out of it, Ꟶ he ouerlayde it with brasse.
Exod.38.3	And he made all the vessels of the alter: the cauldrons, shouels, basyns, fleshhokes and colepannes. All the vessels therof made he of brasse.
Exod.38.4	And he made a brasen gredyren of networcke vnto the alter, rounde aboute alowe beneth vnto the myddes of the altare,
Exod.38.5	Ꟶ cast .iiii. rynges of brasse for the .iiii. endes of the gredyren to put barres in.
Exod.38.6	And he made the barres of Sethim wood and couered them with brasse,
Exod.38.7	and put the barres into the rynges in the foure corners of the altare, to bere it withall, and made the alter holowe wyth in the bordes.
Exod.38.8	And he made the lauer of brasse, and the fote of it also of brasse in the syghte of them that dyd watch at the dore of the tabernacle of witnesse.
Exod.38.9	And he made the courte on the southsyde, Ꟶ the hangynges of the courte were of whyte twyned sylke, hauynge an hundred cubites.
Exod.38.10	Theyr pylers were twentye, Ꟶ theyr brasen sockettes twenty. But the knoppes of the pylers, Ꟶ theyr whopes were of syluer.
Exod.38.11	And on the north syde the hangynges were an hundred cubytes. Theyr pylers were .xx. Ꟶ theyr sockettes of brasse .xx. But the knoppes Ꟶ the whopes of the pylers were of syluer.
Exod.38.12	On the west syde, were hangynges of .l. cubytes .x. pyllers Ꟶ theyr .x. sockettes. But the knoppes Ꟶ the whopes of the pillers were of syluer.
Exod.38.13	And towarde the east syde, were hangynges of .l. cubytes:
Exod.38.14	the hangynges of the one syde of the gate were fyftene cubytes longe, with thre pyllers, and thre sockettes.
Exod.38.15	And of the other syde of the court gate were hangynges also of .xv. cubytes longe, with thre pyllers and thre sockettes.
Exod.38.16	All the hangynges of the courte rounde aboute, were of whyte twyned sylke:
Exod.38.17	but the sockettes of the pyllers were of brasse: and the knoppes and the whopes of the pyllers were of syluer, and the couerynge of the heedes was of syluer, and all the pyllers of the courte were whoped about with syluer.
Exod.38.18	And the hangynge of the gate of the courte was nedle worke, of yelowe, sylke purple, scarlet and whyte twyned sylke .xx. cubytes longe, and fyue in the bredth, ouer agaynst the hangynges of the courte.
Exod.38.19	And theyr pyllers were foure and theyr foure sockettes of brasse, and the knoppes of syluer, and the heedes ouerlayed wyth syluer, and whoped aboute with syluer,
Exod.38.20	and all the pynnes of the tabernacle Ꟶ of the courte rounde aboute were of brasse.
Exod.38.21	Thys is the summe of the habitacyon of witnesse, as it was counted accordynge to the commaundement of Moses for the office of the Leuytes by the hande of Ithamar sonne to Aaron the preast.
Exod.38.22	And Bezaleel the sonne of Uri the sonne of Hur of the trybe of Iuda, made all that the Lorde commaunded Moses,
Exod.38.23	and with him was Aholiab sonne of Ahisamach of the trybe of Dan, a conninge grauer and a worker of nedle worke in yelowe sylk, purple scarlet and whyte twyned sylke.
Exod.38.24	All the golde that was occupyed for all the worcke of the holy place, was the golde of the waueofferynge, euen .xxix. hundred weyght, and seuen hundred and .xxx. sycles, accordinge to the sycle of the Sanctuary.
Exod.38.25	And the summe of syluer that came of the multitude, was .v. score hundred weyght, Ꟶ a thousande seuen hundred Ꟶ .lxxv. sycles after the Sycle of the Sanctuary.
Exod.38.26	For euery man an halfe weight, euen halfe a sycle after the sycle of the Sanctuary, for all them that went to be nombred from .xx. yeare olde and aboue, euen for .vi. hundred thousande and thre thousande and .v. hundred and .l. men.
Exod.38.27	And of the .v. score hundred weyght of syluer, were cast the sockettes of the Sanctuary, and the sockettes of the vayle: an hundred sockettes of the fyue score hundred weyght, an hundred weyght to euery sockette.
Exod.38.28	And of the thousande seuen hundred Ꟶ .lxx. sycles, he made knoppes to the pyllers, and ouerlayde the heedes and whoped them.
Exod.38.29	And the brasse of the waueofferinge was .lxx. hundred weyght, and two thousande, Ꟶ .iiii. hundred sycles.
Exod.38.30	And therwith he made the sockettes to the dore of the Tabernacle of witnesse, and the brasen altare and the brasen gredyren for it, withall the vessels of the alter,
Exod.38.31	and the sockettes of the courte rounde aboute, Ꟶ the sockettes for the courte gate, Ꟶ all the pynnes of the habitacyon, and all the pynnes of the courte rounde aboute.
Exod.39.1	And of the yelowe sylke, purple Ꟶ scarlet, they made the vestimentes of ministracyon to do seruice in the holy place, and made the holy garmentes for Aaron, as the Lorde commaunded Moses.
Exod.39.2	And he made the Ephod of golde, yelow sylke, purple, scarlet Ꟶ whyte twyned sylke.
Exod.39.3	And they dyd beate the gold into thynne plates, and cutte it into wyers: to worke it in the yelowe sylke, purple, scarlet, and in the fyne whyte, with broderd worke.
Exod.39.4	And they made two sydes for it, to cloose them vp by the two edges.
Exod.39.5	And the brodrynge of the gyrdell that was vpon it, was of the same stuffe, and after the same worcke: of golde, yelowe sylk, purple, scarlet, and twyned whyte sylke, as the Lorde comaunded Moses.
Exod.39.6	And they wrought Onix stones cloosed in ouches of golde, and graued as sygnettes are grauen with the names of the chyldren of Israel,
Exod.39.7	and put them on the shoulders of the Ephod, that they shuld be stones for a remembraunce of the chyldren of Israel, as the Lord commaunded Moses.
Exod.39.8	And he made the breastlappe of connyng worcke, and lyke the worcke of the Ephod: euen of golde, yelowe sylke, purple, scarlet, Ꟶ twyned whyte sylke.
Exod.39.9	It was .iiii. square, and they made the breastlappe double, an hande breadeth longe and an hande breadeth brode.
Exod.39.10	And they fylled it with .iiii. rowes of stones. The fyrst rowe: a Sardios, a Topas and Smaragdus:
Exod.39.11	the seconde rowe, a Rubye a Saphir and a Diamonde:
Exod.39.12	in the .iii. rowe, Ligurios, an Achat, and an Amatist:
Exod.39.13	in the fourth rowe: a Turcas, and Onix, and a Iaspis. And they were closed in ouches of golde in theyr inclosers.
Exod.39.14	And the .xii. stones were grauen as sygnettes with the names of the chyldren of Israel: euery stone wt hys name, accordynge to the .xii. trybes.
Exod.39.15	And they made vpon the breastlappe, two fastenynge cheynes of wrethen worcke and pure golde.
Exod.39.16	And they made two hokes of golde, Ꟶ two golde rynges, and put the two rynges in the two corners of the breastlappe
Exod.39.17	And they put the two chaines of golde in the two ringes, in the corners of the brestlappe:
Exod.39.18	And the two endes of the two chaynes they fastened in the two hokes, and put them on the shulders of the Ephod vpon the fore front of it.
Exod.39.19	And they made two rynges of golde, and put them on the two corners of the breastlappe vpon the edge of it whych was on the insyde by the Ephod.
Exod.39.20	And they made two golden rynges, and put them on the two sydes of the Ephod, beneth on the foresyde of it and ouer agaynst hys felowe, aboue vpon the brodrynge of the Ephod,
Exod.39.21	and they strayned the breastlappe by hys rynges vnto the rynges of the Ephod, wyth a lace of yelowe sylke: that it myght be vpon the brodrynge of the Ephod, and that the breastlappe shulde not be lowsed from of the Ephod: as the Lorde commaunded Moses.
Exod.39.22	And he made the tunycle vnto the Ephod of wouen worke, all together of yelowe sylke,
Exod.39.23	and there was an hole in the myddest of the tunycle, as the coler of a partlet, wyth a bonde rounde aboute the coler, that it shulde not rent.
Exod.39.24	And in the tunycle they made hemmes with pomgranates, of yelowe sylke, purple, scarlet, and whyte twyned sylke.
Exod.39.25	And they made lytle belles of pure golde, and put them amonge the pomgranates rounde aboute vpon the edge of the tunycle: a bell and a pomgranate,
Exod.39.26	a bell and a pomgranate rounde about the hemmes of the tunycle to mynistre in, as the Lorde commaunded Moses.
Exod.39.27	And they made cotes of fyne whyte of wouen worcke for Aaron and hys sonnes,
Exod.39.28	Ꟶ a mytre of fyne whyte, and goodly bonettes of fyne whyte, and lynen breches of twyned whyte,
Exod.39.29	and a gyrdell of twyned whyte, yelowe sylke, purple and scarlet: euen of nedleworcke, as the Lord commaunded Moses.
Exod.39.30	And they made the plate for the holy croune of fyne golde, and wrote vpon it wyth grauen worcke, the holynes of the Lorde:
Exod.39.31	and tyed vnto it a lace of yelowe silke to fasten it an hye vpon the mytre, as the Lorde commaunded Moses.
Exod.39.32	Thus was all the worcke of the habitacyon and of the Tabernacle of witnesse fynysshed. And the chyldren of Israel dyd accordynge to all that the Lorde had commaunded Moses: Euen so dyd they.
Exod.39.33	And they brought the habitacyon vnto Moses: the tent and all his apparell, buttones, boordes, barres, pillers Ꟶ sockettes.
Exod.39.34	the coueryng of rams skynnes redd, and the couerynge of taxus skynnes, and the hangynge vayle,
Exod.39.35	the arcke of witnesse and the barres therof and the mercyseate:
Exod.39.36	the table and all the vessels therof, Ꟶ the shewbred:
Exod.39.37	the pure candelstycke, with the lampes therof: euen with the lampes to be prepared and all the vessels therof, and the oyle for lyghte:
Exod.39.38	the golden altare, and the anoyntynge oyle, and the swete cens, and the hangynge of the Tabernacle doore,
Exod.39.39	and the brasen alter wyth hys gredyren of brasse: his barres and all hys vessels, the lauer and hys fote:
Exod.39.40	the hangynges of the courte wyth hys pyllers and sockettes: the hangynge to the courte gate, and hys pynnes and coardes, and all the vessell of the seruyce of the habitacyon for the Tabernacle of witnesse:
Exod.39.41	the mynistrynge vestimentes to serue in the holy place, and the holy vestimentes for Aaron the preast, Ꟶ his sonnes raymentes to mynistre in,
Exod.39.42	accordinge to all that the Lorde commaunded Moses: euen so the chyldren of Israel made all the worke.
Exod.39.43	And Moses behelde all the worcke, and se, they had done it euen as the Lorde commaunded: euen so had they done, and Moses blessed them.
Exod.40.1	And the Lorde spake vnto Moses sayinge.
Exod.40.2	In the fyrst daye of the first moneth, shalt thou sett vp the habitacyon, and the Tabernacle of witnesse,
Exod.40.3	and put therin the arcke of witnesse, and couer the arcke wyth the vayle,
Exod.40.4	and brynge in the table and apparell it accordynge to the order therof. And thou shalt brynge in the candelstycke, and lyght hys lampes,
Exod.40.5	and sett the cens alter of golde before the arcke of wytnesse, and put the hangynge at the dore of the habitacyon.
Exod.40.6	And set the burntofferyng alter before the dore of the habitacyon and Tabernacle of witnesse,
Exod.40.7	and sett the lauer betwene the Tabernacle of witnesse and the alter and put water therin,
Exod.40.8	and make the courte round aboute, and hange vp the hangynge at the courte gate.
Exod.40.9	And thou shalt take the anoyntynge oyle, and anoynt the habitacyon, and all that is therin, and halowe it with all the vessels therof, that it maye be holye.
Exod.40.10	And thou shalt anoynte the altare of burntofferynge and all hys vessels, and sanctifye the altare, that it may be an altare moost holy.
Exod.40.11	And thou shalt anoynte also the lauer and hys fote, and sanctifye it.
Exod.40.12	And thou shalt brynge Aaron and hys sonnes vnto the dore of the Tabernacle of witnesse, and washe them with water.
Exod.40.13	And thou shalt put vpon Aaron the holy vestymentes, and anoynte him, and sanctifye hym that he maye mynistre vnto me.
Exod.40.14	And thou shalt bringe his sonnes, and clothe them with garmentes,
Exod.40.15	and anoynte them as thou dyddest anoynt theyr father, that they maye minystre vnto me. For theyr anoyntynge shall be an euerlastynge presthode vnto them thorowe out theyr generacyons.
Exod.40.16	And Moses dyd accordynge to all that the Lorde commaunded hym: euen so dyd he.
Exod.40.17	Thus was the Tabernacle reared vp the fyrst daye in the fyrst moneth in the seconde yere.
Exod.40.18	And Moses reared vp the Tabernacle and fastened hys sockettes, and set vp the bordes therof, and put in the barres of it and reared vp hys pyllers,
Exod.40.19	and sprede abrode the tent ouer the habitacion, Ꟶ put the couerynge of the tent an hye aboue it: as the Lorde commaunded Moses.
Exod.40.20	And he toke the testimonye, and put it in the arcke, Ꟶ set the barres to the arcke, Ꟶ put the mercyseate an hye vpon the arcke,
Exod.40.21	Ꟶ brought the arcke into the habitacyon, Ꟶ hanged vp the vayle, Ꟶ couered the arcke of witnesse, as the Lorde commaunded Moses.
Exod.40.22	And he put the table in the Tabernacle of witnesse in the north syde of the habitacyon, (but without the vayle)
Exod.40.23	and set the bread in ordre before the Lorde, euen as the Lord had commaunded Moses.
Exod.40.24	And he put the candelsticke in the tabernacle of witnesse oueragaynst the table towarde the south syde of the habitacyon,
Exod.40.25	and set vp the lampes before the Lorde: as the Lorde commaunded Moses.
Exod.40.26	And he put the golden alter in the tabernacle of witnesse before the vayle,
Exod.40.27	and brent swete cens theron, as the Lorde commaunded Moses.
Exod.40.28	And he hanged vp the hangynge at the dore of the habitacyon,
Exod.40.29	and set the burntofferynge alter by the entrynge in of the habitacyon of the tabernacle of witnesse, and offred burntofferynges and meateofferynges theron, as the Lorde commaunded Moses.
Exod.40.30	And he set the lauer betwene the tabernacle of witnesse and the alter, and poured water therin, to wash withall.
Exod.40.31	And Moses Aaron Ꟶ his sonnes wasshed their handes and their fete therat:
Exod.40.32	when they went into the tabernacle of witnesse, Ꟶ when they went to the alter they wasshed them selues as the Lorde commaunded Moses.
Exod.40.33	And he reared vp the courte rounde aboute the habitacyon and the alter, Ꟶ set vp an hangynge at the courte gate: and so Moses fynysshed the worcke.
Exod.40.34	And the clowde couered the tabernacle of witnesse, and the glorye of the Lorde fylled the habitacyon.
Exod.40.35	And Moses coulde not entre into the tabernacle of witnesse, because the clowde abode theron, and the glorye of the Lorde fylled the habitacyon.
Exod.40.36	And when the clowde was taken vp from of the habitacyon, the chyldren of Israel toke theyr iorneys thorowe out theyr armyes.
Exod.40.37	And whan the clowde was not taken vp, they iorneyed not tyll it was taken vp:
Exod.40.38	for the clowde of the Lorde was vpon the habitacyon by daye, and fyre by nyght: in the syghte of all the house of Israel thorow out all theyr armyes.
Exod.0.0	¶ The ende of the seco{n}de boke of Moses, called in the Hebrue Uelle schemothe, and in the Latyn Exodus.
