Isa.0.0	¶ The booke of the prophete Esay
Isa.29.12	And the boke is geuen vnto him that is not learned, saying: Reade thou in it, and he sayth: I am not learned.
Isa.29.13	Therfore thus hath the Lorde sayde: For somoche as this people when they be in trouble, do honour me with their mouth Ꟶ wt their lippes: but their hert is far fro me, Ꟶ the feare which they haue vnto me, proceadeth of a commaundment that is taught of men.
Isa.29.14	Therfore wyll I do maruayls amonge this people, euen maruelous thinges (I saye) Ꟶ a wonder. For the wysdome of their wise men shall perysh, Ꟶ the vnderstanding of their wittye men shall hyd it selfe.
Isa.29.15	Wo vnto them that kepe secrete their thoughtes, to hyde their councell from the Lorde, and do their workes in darknesse, sayinge: who seeth vs? Ꟶ who knoweth vs?
Isa.29.16	Doutles, your destruccion is (in my handes) in reputacyon as the potters claye. And doth the worcke saye of hym that made it, he made not me? And doth an earthen vessell saye of him that fasshyoned it, he had no vnderstandinge?
Isa.29.17	Is it not hard at hande, that Lybanus shalbe turned into a lowe felde, and that the lowe felde shalbe taken as the wodd?
Isa.29.18	And in that daye shall deaffe men heare the wordes of the boke, and the eyes of the blinde shall se euen out of the cloud and out of darcknes.
Isa.29.19	The meke spreted also shalbe mery in the Lorde, and the poore amonge them that be lowly, shall reioyce in the holy one of Israel.
Isa.29.20	For he that dyd violence, is brought to naught, and the scornefull man is consumed: and they roted out that were hastie so soone to vnryghteousnes,
Isa.29.21	makynge a man to synne in the worde, and that toke hym in a snare which reproued them in the open place: and they that haue turned the cause of the ryghteous to naught.
Isa.29.22	Therfore thus sayth the Lorde vnto the house of Iacob, euen thus sayeth he that redemed Abraham: Iacob shall not nowe be confounded, ner his face pale.
Isa.29.23	But when he seeth hys chyldren the worcke of my handes in the middes of him, they shall sanctifie my name, and prayse the holy Lord of Iacob, and feare the God of Israel.
Isa.29.24	They also that haue bene of an erronyouse sprete, shall come to vnderstandyng: and they that haue bene scornefull, shall learne doctryne.
Isa.30.1	Alas, for those disobedient chyldren (sayth the Lorde) that they wyll take councell without me. Alas, that they wyll take a secret aduice, and not out of my sprete, and therfore adde they synne vnto synne.
Isa.30.2	Euen they that walke to go downe into Egypte, and haue asked no question at my mouth: but seke strength in the myght of Pharao, and trust in the shadowe of Egypt.
Isa.30.3	Therfore shall the strength of Pharao be your confusion, and the truste of the shadowe of Egypte youre shame.
Isa.30.4	For his captaynes were at zoan, and his ambassadours came vnto Hanes.
Isa.30.5	They were all ashamed of the people that could do them no good, and that might not helpe them, ner shew them any profyt, but were theyr confusyon and rebuke.
Isa.30.6	The heauy burthen of the beastes of the south in a lande of trouble and anguysshe, from whence shall come the yonge and olde lion, the vyper and fyrye serpent that flyeth agaynste them that vpon coltes beare theyr riches, and vpon camels their treasures, to a people that can do them no good.
Isa.30.7	For vaine and nothynge worth shall the helpe of the Egipcyans be. Therfore haue I cryed vnto Ierusalem. They shall haue strength ynough, yf they wyll settle their myndes in quietnes.
Isa.30.8	Now therfore, go thy waie, and wryte thys before them in a table, Ꟶ note it in a boke, that it maye finally remayne and be kept styll for euer.
Isa.30.9	For it is an obstinat people, and dissembling chyldren, children that refuse to heare the lawe of the Lorde.
Isa.30.10	For they saye vnto the seers: Se not, and to them that be cleare of iudgement: loke not out ryght thinges for vs: but speake fayre wordes vnto vs: loke out erroures,
Isa.30.11	gett you out of this waye, departe out of this path, Ꟶ turne the holy one of Israel from vs.
Isa.30.12	Wherfore thus sayth the holy one of Israel: Because your hertes rise agaynst this worde, Ꟶ because ye trust in wrongeous dealyng Ꟶ peruerse iudgment, Ꟶ put your confidence therin.
Isa.30.13	Therfore shall ye haue thys myschefe for yo destruccion and fall lyke as an hye wall that falleth, because of some ryfte or blast, whose breaking commeth sodenly.
Isa.30.14	And the hurte therof is lyke an erthen vessell, which breaketh without helpe: so that in the burstyng of it, there is not found one sheuer to fetch fyre in, or to take water withall out of the pyt.
Isa.30.15	For thus sayth the Lorde God, euen the holy one of Israel: In repentaunce Ꟶ in rest shall ye be safe: in quietnes and sure confydence shalbe your strength.
Isa.30.16	But ye haue had no lyst therto. For ye haue sayd: No, but we will escape thorowe horses. (Therfore shall ye flye) Ꟶ we will get vs vp vpon swyft beastes. And therfore shal your persecutours be swyfter.
Isa.30.17	A .M. shall flye at the rebuke of one, Ꟶ at the rebuke of .v. shall ye all flye, tyll ye be left as a shypp mast vpon the topp of a mountayne, and as a beaken vpon an hyll.
Isa.30.18	Therfore doth the Lorde cause you to wayte, that he maye haue mercy vpon you: to thintent that he maye haue the preemynence, when he is gracyous vnto you. For the Lorde is the God of iudgement. Blessed are all they that hope in hym.
Isa.30.19	Yf the people remayne in Syon and at Ierusalem, thou shalt not be in heuines: but at the voyce of thy complaynte shall he haue mercy vpon the. And when he heareth it he shall geue the an answer.
Isa.30.20	And though the Lorde geue you the bread of trouble, and the water of aduersitie, thy rayne shalbe nomore so skant, but thyne eyes shall see thy rayne.
Isa.30.21	Yee, and thyne care shall heare the talkynge of hym that doeth speake behynde the. Thys is the waye, walke ye in it. Turne not aside nether to the ryght hande ner to the lyft.
Isa.30.22	Ye shall destroye also the couerynge of youre syluer ymages, and the deckinge of youre golden ydols. Euen as filthynes shall ye put them awaye. And thou shalt say vnto it. Gett the hence.
Isa.30.23	Then shall God geue rayne vnto thy seede, that thou shalt sowe the ground withall, and bred of the increace of the earth, which shalbe fat and very plenteous. In that daye also, shall thy catell be fed in large pasture.
Isa.30.24	The oxen lykewise and the younge asses, that eate the grounde, shall eate cleane prouender, which is pourged with the wynde and the fanne.
Isa.30.25	Finally, vpon euery hye mountaine and hyll shall ther be riuers and streames of waters, in the daye of the greate slaughter, when the towers fall.
Isa.30.26	Moreouer, the lyght of the moone shalbe as the light of the sunne, and the sunne lyght shalbe seuen folde, and haue as much shyne as in seuen dayes besyde: when the Lorde byndeth vp the sore of hys people, and healeth the stroke of their wound.
Isa.30.27	Beholde, the fame of the Lord commeth from farre, and his presence is so hote, that no man is able to abyde. His lyppes are full of indignation, and hys tonge is as a consumynge fyer.
Isa.30.28	Hys breth is as a vehement floude of water, that reacheth vp to the necke. That he maye syft awaye the Heythen in the syue of vanitye. And his breth is as a brydle of errour in the chawes of the people.
Isa.30.29	And ye shall syng, lyke as in the nyghte, when the holy solempnitye beginneth. And ye shall haue gladnes of hert, lyke as when one commeth with a pype vnto the hyll of the Lorde, and to the moost mightye one of Israel.
Isa.30.30	And the Lorde shall cause his gloryous voyce to be heard, and shall declare his stretched out arme with a terrible countenaunce and with the flame of a consuming fyer, with noysome lyghtenynge, with a shower, and with hayle stone.
Isa.30.31	For thorowe the voyce of the Lorde shall Assur be destroyed, which smote other men with the rodde.
Isa.30.32	And it shall come to passe, that whyther soeuer he goth, the rodde shall cleue vnto him, which the Lorde shall laye vpon him with tabrettes and harpes: and with greate warre shall he fyght agaynst his hoost.
Isa.30.33	For the fyer of payne is ordeyned from the begynning: yee, euen for kynges is it prepared. Thys hath the Lorde set in the depe, and made it wyde: the burninge wherof is fyer and muche wodde. The breth of the Lorde, which is a ryuer of brymstone, doth kyndle it.
Isa.31.1	Wo be vnto them that go downe into Egypte for helpe, and truste in horses, and put their confidence in charettes, because they be manye, and in horsemen, because they be lusty and strong. But they regarde not the holy one of Israel, and they aske no question at the Lord.
Isa.31.2	Where as he neuertheles (beynge wysest of all) plageth the wycked, and yet goeth nott from his worde, when he steppeth forth, and taketh the victory agaynst the housholde of the frowarde, and agaynst the helpe of euell doers.
Isa.31.3	Nowe the Egiptians are men, and not God, and their horses flesh and not sprete. And assoone as the Lorde stretcheth oute hys hande, then shall the helper fall, and he that shulde haue bene helped, and they shall all together be destroyed.
Isa.31.4	For thus hath the Lorde spoken vnto me: Like as the lyon or lyons whelpe roareth vpon the praye that he hath gotten, and is not afrayed, though the multitude of shepherdes crye out vpon hym, nether abashed for all the heape of them. So shall the Lorde of hoostes come downe to fyght for mount Syon, and defende hys hyll.
Isa.31.5	Lyke as byrdes flotre aboute their nestes, so shall the Lorde of hoostes kepe, saue, defende and delyuer Ierusalem.
Isa.31.6	Therfore, O ye chyldren of Israel, turne agayne, from that infydelitye, wherin you drowned your selues.
Isa.31.7	For in that daye euery man shall cast out hys ydolles of syluer and hys ydolles of golde, which ye haue made with youre awne handes vnto youre synne.
Isa.31.8	Assur also shalbe slayne with the swearde, not with a mans swearde, nether shall the swearde of eny man deuoure hym. And he shall fle from the slaughter and his seruauntes shalbe disconfyted in their hertes.
Isa.31.9	He shall go for feare to hys strongeholdes, and hys prynces shall fle from hys badge. Thys hathe the Lorde spoken, whose lyght burneth in Syon, and his fyer in Ierusalem.
Isa.32.1	Beholde, a king shall gouerne after the rule of ryghtewesnesse, and the princes shall rule, accordyng to the balaunce of equitye.
Isa.32.2	And that man shalbe vnto men as a defence for the wynd, and as a refuge for the tempest: lyke as a riuer of water in a thirstye place, and the shadowe of a greate rocke in a drye lande.
Isa.32.3	The eyes of the seynge shall not be dym, and the cares of them that heare, shall take diligent hede.
Isa.32.4	The hert of the vnwyse shall attayne to knowledge, and the vnparfyte tong shall speake playnely and distinctlye.
Isa.32.5	Then shall the folyshe nygarde be nomore called gentle, ner the churle liberall.
Isa.32.6	But the nygarde will be nigardly minded, and his hert wyll worke euell and playe the ypocrite, and ymagyn abhominations agaynst God, to make the hongry leane, and to witholde drincke from the thirsty.
Isa.32.7	These are the perlous weapons of the churlysh, these be his shamefull councels: that he maye begyle the poore with disceatfull wordes: yee, euen there as he shulde geue sentence with the poore.
Isa.32.8	But the lyberall persone ymagineth honest thynges, Ꟶ commeth vp for liberalytie vnto promotyon:
Isa.32.9	Up (ye ryche and ydell women) herken vnto my voyce. Ye careles cities, marke my wordes.
Isa.32.10	After yeares and dayes shall ye be brought in feare, O ye careles cities. For haruest shalbe out, Ꟶ the grape gatherynge shall not come.
Isa.32.11	O ye rych ydell cities ye that feare no parell. Be abashed, you that lyue in aboundaunce: tremble, you that lyue careles: cast of your rayment, make your selues bare, put sacke cloth aboute you.
Isa.32.12	For as the infantes wepe when their mothers tetes ar dryed: so shall you weape for your fayre feldes and frutefull vyneyardes.
Isa.32.13	My peoples felde shall brynge thornes and thistles: and so shall it be euen in euery house of volupteousnesse and in euery citye that reioyseth.
Isa.32.14	The palaces also shalbe broken, Ꟶ the greatly occupyed cityes desolate. The towres and bulwarckes shall become dennes for euermore, the pleasure of mules shalbe turned to pasture for shepe:
