Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.20.18	Wherfore cam I forth of my mothers wombe? To haue experience of laboure and sorowe? and to lead my lyfe with shame?
Jer.21.1	These are the wordes that the Lorde spake vnto Ieremy what tyme as kyng zedekiah sent vnto him Phashur the sonne of Melchias, and Sophonias the sonne of Maasias preste, sayinge.
Jer.21.2	Aske councell at the Lorde (we praye the) of our behalfe, for Nabuchodonosor the kynge of Babilon besegeth vs, yf the Lorde (peraduenture) will deale with vs, accordynge to his maruelous power, Ꟶ take him from vs.
Jer.21.3	Then spake Ieremy. Geue zedekias this answere.
Jer.21.4	Thus sayeth the Lorde God of Israel: beholde, I wil turne backe the weapens that ye haue in youre handes, wherwith ye fyght agaynst the kynge of Babylon Ꟶ the Caldees, which besege you round aboute the walles, and I will bringe them together into the myddest of this cytie,
Jer.21.5	Ꟶ I my selfe wyll fyght against you, with an outstretched hande, Ꟶ with a myghtie arme, in great displeasure and terrible wrath:
Jer.21.6	Ꟶ wyll smyte them, that dwel in this citie: yee, both men and catell shall dye of a great pestilence.
Jer.21.7	And after this (sayeth the Lorde) I shal deliuer zedekias the kinge of Iuda, and his seruauntes, his people (and soch as are escaped in the citie, from the pestilence, swearde and honger) into the power of Nabuchodonosor kynge of Babylon: yee, into the handes of theyr enemyes, into the handes of those that folowe vpon their lyues, which shall smyte them with the swearde, they shal not pytie them, they shall not spare them, they shall haue no mercy vpon them.
Jer.21.8	And vnto this people thou shalt saye. Thus sayeth the Lorde: beholde, I laye before you the waye of lyfe Ꟶ deeth.
Jer.21.9	Who so abydeth in this cytie, shall perish: ether with the swearde, wyth honger, or wyth pestilence. But who so goeth out to holde on the Chaldees parte, that besege it, he shall saue hys lyfe Ꟶ shall wynne his soule for a pray.
Jer.21.10	For I haue set my face agaynst this cytie (sayeth the Lorde) to plage it, and to do it no good. It must be geuen into the hande of the king of Babylon, and be brent with fyre.
Jer.21.11	And vnto the house of the kyng of Iuda, saye thus: Heare the worde of the Lord
Jer.21.12	(O thou house of Dauid) for thus saith the Lord: Minister ryghteousnes, and that soone, delyuer the oppressed from violent power or euer my terryble wrath breake out lyke a fyre, and burne so, that no man maye quench it, because of the wyckednes of youre ymaginacions.
Jer.21.13	Beholde (sayeth the Lorde) I will come vpon you, that dwell in the valleyes, rockes and feldes, and saye. Tush: who will make vs afrayed? or who will come into oure houses?
Jer.21.14	For I wyll vyset you (saieth the Lorde) because of the wickednes of your inuencions, and wyll kyndle soche a fyre in youre wood, as shall consume al that is aboute you.
Jer.22.1	Thus sayde the Lorde, Go downe into the house of the kynge of Iuda, Ꟶ speake there these wordes,
Jer.22.2	and saye: Heare the worde of the Lorde, thou king of Iuda that syttest in the kyngly seat of Dauid: thou and thy seruauntes and thy people that go in and out at this gate.
Jer.22.3	Thus the Lorde commaundeth: kepe equyte and righteousnesse, deliuer the oppressed from the power of the violent: do not greue ner oppresse the straunger, the fatherlesse ner the wyddow. and shed no innocent bloude in this place.
Jer.22.4	And yf ye kepe these thynges faythfully then shal there come in at the dore of this house kinges, to sit vpon Dauids seate: they shalbe caried in Charettes and ryde vpon horses both they and their seruauntes, and theyr people.
Jer.22.5	But yf ye will not be obedient vnto these commaundementes, I sweare by myne awne selfe (sayeth the Lorde) thys house shal be waste.
Jer.22.6	For thus hath the Lorde spoken vpon the kynges house of Iuda. Thou Gilead art vnto me the head of Libanus. Shall I not make the so waste (Ꟶ thy cyties also) that no man shall dwell therin?
Jer.22.7	I wil prepare a destroyer with his weapens for the, to hewe downe thy speciall Cedre trees, and to cast them in the fyre.
Jer.22.8	And all the people that go by this cytie, shal speak one to another. Wherfore hath the Lorde done thus vnto this noble cytie?
Jer.22.9	Then shall it be answered: because they haue broken the couenaunt of the Lorde theyr God, and haue worshypped Ꟶ serued straunge goddes.
Jer.22.10	Mourne not ouer the deed, and be not wo for them, but be sory for hym that departeth awaye: for he commeth not agayne, and seeth his natiue countre no more.
Jer.22.11	For thus sayeth the Lorde, as touchynge Selum the sonne of Iosias kynge of Iuda, which raygned after his father, and is caried out of this place, he shal neuer come hyther agayne,
Jer.22.12	for he shal dye in the place, wher vnto he is led captiue, and shall se this lande nomore.
Jer.22.13	Wo worth him, that buyldeth hys house with vnrighteousnes, and his parlers with the good that he hath gotten by vyolence: which neuer recompenseth his neyghbours laboure, ner payeth him his hyre.
Jer.22.14	He thyncketh in him selfe. I wyll buylde me a wyde house, Ꟶ gorgeous parlers. He causeth windowes to be hewen therin, and the sylynges and ioystes maketh he of Cedre, and paynteth them with Synaper.
Jer.22.15	Thynckest thou to raygne, now that thou prouokest me to wrath with the Cedre trees? Dyd not thy father eate and drincke, and prospere well, as longe as he dealt wt equite and righteousnesse?
Jer.22.16	Yee, when he helped the oppressed and poore to their right, then prospered he well. From whence came thys, but onely because he had me before hys eyes, sayeth the Lorde?
Jer.22.17	Neuertheles, as for thyne eyes and thyne herte, they loke vpon coueteousnesse, to shed innocent bloude, to do wronge Ꟶ violence.
Jer.22.18	And therfore, thus sayeth the Lorde agaynst Iehoakim, the sonne of Iosias kyng of Iuda. They shall not mourne for him (as they vse to do) alas brother, alas syster. Nether shal they saye vnto him: Alas syr, alas for that noble prince.
Jer.22.19	But as an Asse shall he be buryed, corrupte and be cast without the gates of Ierusalem.
Jer.22.20	Clyme vp the hyll of Libanus (O thou daughter Sion) lyft vp thy voyce vpon Basan, crye from all partes: for all thy louers are destroyed.
Jer.22.21	I gaue the warnynge, whyle thou wast yet in prosperyte. But thou saydest: I wyll not heare. And this maner hast thou vsed from thy youth, that thou woldest neuer heare my voyce.
Jer.22.22	All thy herdmen shalbe driuen with the wynde, and thy derlynges shalbe caryed awaye into captiuite. Then shalt thou be brought to shame Ꟶ confusion because of al thy wickednes:
Jer.22.23	thou that dwellest vpon Libanus, Ꟶ makest thy nest in the Cedre trees O how litle shalt thou be regarded when thy sorowes Ꟶ pangues come vpon the, as a woman trauelynge with chylde.
Jer.22.24	As truly as I lyue (sayeth the Lorde:) Though Conanias the sonne of Iehoakim kynge of Iuda were the sygnet of my right hande, yet will I plucke him of.
Jer.22.25	And I will geue the into the power of them that seke to slaye the, and into the power of them that thou fearest: into the power of Nabuchodonosor the Kynge of Babylon, and into the power of the Caldees.
Jer.22.26	Moreouer, I wyll sende the, and thy mother that bare the into a straunge lande, where ye were not borne, and there shall ye dye.
Jer.22.27	But as for the lande that ye wyll desyre to returne vnto, ye shal neuer come at it agayne.
Jer.22.28	This man Conanias shall be lyke an ymage robbed Ꟶ torne in peces, which pleaseth noman, for all hys apparell. Wherfore both he and his sede shalbe sent awaye, and cast out into a lande, that they knowe not.
Jer.22.29	O thou earth, earth, earth: heare the worde of the Lorde. Thus sayeth the Lorde:
Jer.22.30	Wryte this man amonge the outlawes, for no prosperite shall this man haue all his lyfe longe. Nether shall eny of his sede be so happie, as to syt vpon the seat of Dauid, and to beare rule in Iuda.
Jer.23.1	Wo be vnto the shepherdes, that destroye, and scatre my flocke, sayeth the Lorde.
Jer.23.2	Wherfore this is the commaundement of the Lorde God of Israel, vnto the shepeherdes that fede my people: Ye scatre Ꟶ thrust out my flocke, Ꟶ loke not vpon them. Therfore now wyll I vyset the wickednes of youre ymagynacions, sayeth the Lorde.
Jer.23.3	And wyll gather together the remnaunt of my flocke, from all landes that I had dryuen them vnto, and will brynge them agayne to their pastures, that they maye growe and increase.
Jer.23.4	I wyll set shepherdes also ouer them, which shall fede them. They shall nomore feare and drede, for there shall none of them be lost, saieth the Lorde.
Jer.23.5	Beholde, the tyme commeth, sayeth the Lorde, that I wyll rayse vp the ryghteous braunche of Dauid, which kynge shall beare rule, and he shall prosper with wysedome, Ꟶ shall set vp equite Ꟶ righteousnes agayne in the erth.
Jer.23.6	In this tyme shall Iuda be saued, and Israell shall dwell without feare. And this is the name that they shal call him: euen the Lorde oure ryghteousnesse.
Jer.23.7	And therfore beholde, the tyme commeth, sayeth the Lorde that it shall nomore be sayde: the Lorde lyueth, which brought the chyldren of Israell out of the lande of Egypte:
Jer.23.8	But the Lorde lyueth, which brought forth, and led the sede of the house of Israel, out of the North lande, and from all countrees where I had scatred them, and they shall dwell in their awne lande agayne.
Jer.23.9	My herte breaketh in my body because of the false prophetes, al my bones shake: I am become lyke a droncken man (that by the reason of wyne can take no rest) for verye feare of the Lorde, and of his holy wordes:
Jer.23.10	Because the lande is full of aduouterers Ꟶ thorowe swering it mourneth Ꟶ the pleasaunt pastures of the deserte are dryed vp. Yee, the waye that men take, is wicked, and theyr gouernaunce is nothinge lyke the holy worde of the Lorde.
Jer.23.11	For prophetes and the prestes them selues are polluted ypocrites, and theyr wyckednes haue I founde in my house, saieth the Lorde.
Jer.23.12	Wherfore, their way shall be slyppery in the darcknesse, where in they maye stacker Ꟶ fall. For I wyll bryng a plage vpon them, euen the yeare of theyr visitacion saieth the Lorde.
Jer.23.13	I haue sene foly amonge the Prophetes of Samaria, that they preached for Baall, and disceaued my people of Israell.
Jer.23.14	I haue sene also amonge the Prophetes of Ierusalem foule aduoutry, and presumpteous lyes. They take the most shamefull men by the hande, flattringe them, so that they cannot returne from theyr wyckednes. All these wt their cytesyns are vnto me, as Sodome, and as the inhabitours of Gomorre.
Jer.23.15	Therfore thus sayeth the Lorde of Hostes concernynge the prophetes: Beholde, I will fede them with wormwod, and make them drincke the water of gall. For from the prophetes of Ierusalem is ypocrisye come into all the lande.
Jer.23.16	And therfore the Lorde of Hostes geueth you this warninge. Heare not the wordes of the prophetes, that preach vnto you, and disceaue you: surely they teache you vanyte for they speake the meanynge of their awne herte, Ꟶ not out of the mouth of the Lorde.
Jer.23.17	They saye vnto them that despyse me: The Lorde hath spoken it: Tush: ye shal prospere ryght well. And vnto all them, that walcke after the lust of theyr awne hert, they saye: Tush, there shall no misfortune happen you.
Jer.23.18	For who hath sytten in the councell of the Lorde, that he hath herde Ꟶ vnderstande, what he is aboute to do: Who hath marcked hys deuyce, and herde it?
Jer.23.19	Beholde, the stormy wether of the Lorde (that is, his indignacion) shall go forth, and a vyolent whirlwynde shall fal downe vpon the heade of the vngodly.
Jer.23.20	And the wrath of the Lorde shall not turne agayne, vntyll he perfourme and fulfyl the thought of hys herte. And in the latter dayes ye shall knowe his meanynge.
Jer.23.21	I haue not sent these prophetes (saieth the Lorde) Ꟶ yet they ranne. I haue not spoken to them, and yet they preached.
Jer.23.22	But yf they had continued in my councell they had opened to my people my wordes Ꟶ they had turned my people from their euell wayes Ꟶ wycked ymagynacions.
Jer.23.23	Am I then God that seyth but the thinge, whiche is nye at hande, and not that is farre of? sayeth the Lorde.
Jer.23.24	Maye eny man hyde hym self so, that I shall not se hym? sayeth the Lorde. Do not I fulfyll heauen and earth? sayeth the Lorde.
Jer.23.25	I haue herde well ynough, what the prophetes saye that preache lyes in my name, sayeng: I haue dreamed, I haue dreamed.
